uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_evals,n_stalled_evals,max_accel,phys_fp
n4_chain_91f2ad21,2,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,18.2,61.5,48.546,17.286,True,1.4938,0.32,0,2,9.399,16.1,1.1304,aa1574f,2,300.0,16,16,True,,17,4,8,5,0,318,8,160,0,12.0,058289b6e9fe
n4_chain_91f2ad21,2,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,18.5,61.5,50.485,15.676,True,1.5761,0.32,0,3,9.594,16.1,1.1491,aa1574f,1,300.0,16,16,False,,13,4,5,4,0,321,5,160,0,12.0,058289b6e9fe
n4_chain_d5b9ec92,1,4,chain,10.0,6-8,0.0,0.55,lower_bound,ok,19.1,,,,,,,,,0.0,19.1,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_d5b9ec92,1,4,chain,10.0,6-8,0.0,0.55,sequential,no_solution,,,,,,,,,,,19.1,,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_d5b9ec92,1,4,chain,10.0,6-8,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,30.0,83.9,47.03,39.219,False,0.9212,0.32,0,6,12.725,19.1,1.5707,aa1574f,0,300.0,16,16,True,deadlock: no team progress,10,3,6,1,0,239,6,248,0,11.8867,058289b6e9fe
n4_chain_ff8d2f72,3,4,chain,10.0,6-8,0.0,0.55,lower_bound,ok,15.6,,,,,,,,,0.0,15.6,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_ff8d2f72,3,4,chain,10.0,6-8,0.0,0.55,sequential,no_solution,,,,,,,,,,,15.6,,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_ff8d2f72,3,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,16.9,57.3,44.172,15.514,True,0.9212,0.3205,0,3,9.324,15.6,1.0833,aa1574f,0,300.0,16,16,True,,13,4,4,5,0,264,4,144,0,12.0,058289b6e9fe
n4_chain_538e3564,4,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,20.9,63.3,47.483,19.439,True,0.9341,0.3211,0,2,8.508,18.4,1.1359,aa1574f,2,300.0,16,16,True,,12,4,4,4,0,316,4,176,0,9.8441,058289b6e9fe
n4_chain_d5b9ec92,1,4,chain,10.0,6-8,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,28.0,78.4,38.714,40.612,False,0.9202,0.3214,0,2,12.661,19.1,1.466,aa1574f,2,300.0,16,16,True,deadlock: no team progress,11,3,5,3,0,229,5,232,0,9.4088,058289b6e9fe
n4_chain_ff8d2f72,3,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,16.7,56.2,43.679,14.863,True,1.2072,0.3213,0,2,11.151,15.6,1.0705,aa1574f,1,300.0,16,16,True,,12,4,4,4,0,284,4,144,0,12.0,058289b6e9fe
n4_chain_33bea71e,5,4,chain,10.0,6-8,0.0,0.55,lower_bound,ok,15.9,,,,,,,,,0.0,15.9,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_33bea71e,5,4,chain,10.0,6-8,0.0,0.55,sequential,no_solution,,,,,,,,,,,15.9,,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_33bea71e,5,4,chain,10.0,6-8,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,11.0,44.0,13.977,32.353,False,1.7832,0.3201,0,0,7.815,15.9,0.6918,aa1574f,0,300.0,16,16,True,deadlock: no team progress,6,0,6,0,0,90,6,96,0,12.0,058289b6e9fe
n4_chain_d5b9ec92,1,4,chain,10.0,6-8,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,31.0,84.9,47.975,39.397,False,0.9283,0.3217,0,7,15.247,19.1,1.623,aa1574f,1,300.0,16,16,True,deadlock: no team progress,12,4,4,4,0,226,4,256,0,9.5245,058289b6e9fe
n4_chain_ff8d2f72,3,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,16.7,56.6,44.101,14.84,True,0.9481,0.3213,0,2,11.973,15.6,1.0705,aa1574f,2,300.0,16,16,True,,13,4,4,5,0,289,4,144,0,12.0,058289b6e9fe
n4_chain_538e3564,4,4,chain,10.0,6-8,0.0,0.55,lower_bound,ok,18.4,,,,,,,,,0.0,18.4,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
