uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_free_steps_calls,n_agent_violations,n_obstacle_violations,min_agent_clearance,min_obstacle_clearance,first_violation_t,n_evals,n_stalled_evals,n_replans,n_replans_over_1s,replan_ms_median,replan_ms_p90,replan_ms_max,max_accel,phys_fp
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.8,18.9,14.517,4.531,True,3.9843,0.3267,0,0,4.847,9.3,1.0538,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,110,0,165,0,0,3.98431,0.326671,-1,88,0,10,1,424.551,698.385,1374.905,12.0,65eb7c9d9016
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,7.9,14.2,10.993,2.733,True,3.784,0.8647,0,0,1.55,7.8,1.0128,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,89,0,118,0,0,3.783975,0.86471,-1,72,0,8,0,147.724,348.574,598.641,14.0148,65eb7c9d9016
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.4,21.0,19.699,3.085,True,2.4319,0.4314,0,0,5.148,11.1,1.027,b6767bd,1,300.0,16,14,True,,0,0,0,0,0,156,0,194,0,0,2.431936,0.431395,-1,104,2,12,1,360.53,644.93,1345.406,17.148,65eb7c9d9016
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,7.9,14.2,10.993,2.733,True,3.784,0.8647,0,0,1.528,7.8,1.0128,b6767bd,2,300.0,16,16,True,,0,0,0,0,0,89,0,118,0,0,3.783975,0.86471,-1,72,0,8,0,145.188,348.513,599.893,14.0148,65eb7c9d9016
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.2,,,,,,,,,0.0,10.2,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.4,25.0,17.749,7.6,True,2.972,0.3918,0,,0.005,10.2,1.7059,b6767bd,0,300.0,,,,,,,,,,,,,0,0,2.972035,0.391758,-1,,,,,,,,,65eb7c9d9016
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.3,19.4,18.503,1.725,True,1.0806,0.3283,0,0,2.869,10.2,1.1078,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,143,0,170,0,0,1.080631,0.328277,-1,104,15,12,0,145.479,381.972,869.606,12.0,65eb7c9d9016
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,7.8,,,,,,,,,0.0,7.8,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,sequential,ok,11.7,19.5,10.932,7.8,True,1.9208,0.8647,0,,0.005,7.8,1.5,b6767bd,0,300.0,,,,,,,,,,,,,0,0,1.920843,0.86471,-1,,,,,,,,,65eb7c9d9016
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,7.9,14.2,10.993,2.733,True,3.784,0.8647,0,0,2.24,7.8,1.0128,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,89,0,118,0,0,3.783975,0.86471,-1,72,0,8,0,212.59,503.655,873.486,14.0148,65eb7c9d9016
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.3,19.4,18.504,1.676,True,1.0278,0.3736,0,0,3.201,10.2,1.1078,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,145,0,170,0,0,1.027801,0.373597,-1,104,12,12,0,225.702,377.613,841.071,12.0,65eb7c9d9016
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,14.0,20.5,18.2,2.681,True,1.6766,0.347,0,0,3.63,13.2,1.0606,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,142,0,177,0,0,1.676593,0.346953,-1,120,0,14,0,240.92,348.677,772.031,14.5102,65eb7c9d9016
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,14.1,20.6,18.219,2.765,True,1.6766,0.347,0,1,3.653,13.2,1.0682,b6767bd,2,300.0,16,16,True,,0,0,0,0,0,140,0,178,0,0,1.676593,0.346953,-1,128,2,15,0,239.008,345.789,768.205,12.807,65eb7c9d9016
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,6.5,,,,,,,,,0.0,6.5,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,sequential,ok,11.7,18.2,11.413,6.5,True,2.5347,0.4599,0,,0.004,6.5,1.8,b6767bd,0,300.0,,,,,,,,,,,,,0,0,2.534715,0.459927,-1,,,,,,,,,65eb7c9d9016
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,6.5,11.9,11.562,0.437,True,0.9657,0.4378,0,0,1.007,6.5,1.0,b6767bd,0,300.0,12,12,True,,0,0,0,0,0,92,0,99,0,0,0.965736,0.437832,-1,60,0,7,0,87.93,291.58,408.327,12.0,65eb7c9d9016
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,6.5,11.9,11.562,0.437,True,0.9657,0.4378,0,0,1.145,6.5,1.0,b6767bd,2,300.0,12,12,True,,0,0,0,0,0,92,0,99,0,0,0.965736,0.437832,-1,60,0,7,0,139.581,294.41,412.816,12.0,65eb7c9d9016
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,6.5,11.9,11.562,0.437,True,0.9657,0.4378,0,0,1.575,6.5,1.0,b6767bd,1,300.0,12,12,True,,0,0,0,0,0,92,0,99,0,0,0.965736,0.437832,-1,60,0,7,0,192.347,403.646,565.676,12.0,65eb7c9d9016
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.2,21.6,18.302,4.069,True,1.2538,0.3205,0,0,3.609,11.5,1.0609,b6767bd,2,300.0,16,12,True,,0,0,0,0,0,145,0,192,0,0,1.253811,0.320488,-1,112,9,13,0,219.988,436.838,922.988,16.2385,65eb7c9d9016
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.4,19.6,18.502,1.927,True,1.0773,0.3329,0,0,4.645,10.2,1.1176,b6767bd,2,300.0,16,16,True,,0,0,0,0,0,143,0,172,0,0,1.077305,0.332925,-1,104,12,12,1,314.916,558.804,1232.816,12.0,65eb7c9d9016
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.4,18.4,15.039,3.194,True,1.0075,0.6758,0,0,1.841,9.3,1.0108,b6767bd,2,300.0,16,16,True,,0,0,0,0,0,107,0,156,0,0,1.00755,0.675773,-1,88,0,10,0,139.181,312.343,592.913,14.7511,65eb7c9d9016
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,11.5,,,,,,,,,0.0,11.5,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.8,26.8,18.189,9.0,True,1.1895,0.4006,0,,0.007,11.5,1.5478,b6767bd,0,300.0,,,,,,,,,,,,,0,0,1.189462,0.40057,-1,,,,,,,,,65eb7c9d9016
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.2,21.6,19.066,3.433,True,1.2538,0.3205,0,0,5.017,11.5,1.0609,b6767bd,0,300.0,16,11,True,,0,0,0,0,0,149,0,192,0,0,1.253811,0.320488,-1,112,11,13,1,299.331,613.675,1331.821,16.2385,65eb7c9d9016
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.4,18.4,15.039,3.194,True,1.0075,0.6758,0,0,2.773,9.3,1.0108,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,107,0,156,0,0,1.00755,0.675773,-1,88,0,10,0,213.604,439.504,908.964,14.7511,65eb7c9d9016
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,9.3,,,,,,,,,0.0,9.3,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,sequential,no_solution,,,,,,,,,,,9.3,,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.4,18.5,15.807,2.656,True,1.0015,0.7751,0,0,2.849,9.3,1.0108,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,115,0,157,0,0,1.001524,0.77509,-1,88,1,10,0,219.869,453.751,920.109,14.0152,65eb7c9d9016
