uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_evals,n_stalled_evals,max_accel,phys_fp
n2_chain_2d8372b7,9,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,17.4,26.2,22.869,4.441,True,3.1582,0.3212,0,1,3.017,15.9,1.0943,aca1a47,1,300.0,16,16,True,,8,2,2,4,0,169,2,152,0,12.0,2070da06d4a0
n2_chain_44dbed2b,0,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,15.7,25.7,24.573,2.545,True,0.9669,0.4305,0,1,2.62,14.4,1.0903,aca1a47,1,300.0,16,16,True,,4,2,0,2,0,168,0,136,0,7.5166,2070da06d4a0
n2_chain_3fc4fe76,2,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,13.2,24.3,23.427,2.127,True,0.9212,0.4404,0,4,2.103,11.6,1.1379,aca1a47,2,300.0,16,16,True,,2,2,0,0,0,131,0,120,0,9.8869,2070da06d4a0
n2_chain_2d8372b7,9,2,chain,12.0,2-3,0.0,0.55,wm_planner,ok,17.5,26.3,22.802,4.595,True,3.1582,0.3212,0,0,3.491,15.9,1.1006,aca1a47,2,300.0,16,16,True,,8,2,2,4,0,170,2,152,0,12.0,2070da06d4a0
n2_chain_44dbed2b,0,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,15.6,25.6,23.933,2.977,True,0.9522,0.3498,0,1,3.346,14.4,1.0833,aca1a47,2,300.0,16,16,False,,5,2,1,2,0,162,1,136,0,12.0,2070da06d4a0
n2_chain_3fc4fe76,2,2,chain,12.0,2-3,1.0,0.55,lower_bound,ok,11.6,,,,,,,,,0.0,11.6,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_3fc4fe76,2,2,chain,12.0,2-3,1.0,0.55,sequential,ok,21.9,32.6,22.587,10.7,True,1.4436,0.4146,0,,0.009,11.6,1.8879,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_3fc4fe76,2,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,13.4,25.2,23.962,2.603,True,0.9716,0.3305,0,2,3.294,11.6,1.1552,aca1a47,0,300.0,16,16,True,,3,2,0,1,0,139,0,120,0,8.7437,2070da06d4a0
n2_chain_874989c6,4,2,chain,12.0,2-3,1.0,0.55,lower_bound,ok,11.0,,,,,,,,,0.0,11.0,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_874989c6,4,2,chain,12.0,2-3,1.0,0.55,sequential,ok,19.1,30.1,19.843,11.0,True,2.5119,0.5524,0,,0.006,11.0,1.7364,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_874989c6,4,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,11.8,22.9,20.445,3.61,True,0.9211,0.5524,0,0,2.237,11.0,1.0727,aca1a47,0,300.0,16,16,True,,5,2,1,2,0,141,1,104,0,7.108,2070da06d4a0
n2_chain_3fc4fe76,2,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,13.4,25.2,23.962,2.603,True,0.9716,0.3305,0,2,3.463,11.6,1.1552,aca1a47,1,300.0,16,16,True,,3,2,0,1,0,139,0,120,0,8.7437,2070da06d4a0
n2_chain_874989c6,4,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,11.7,23.1,20.913,3.41,True,0.9214,0.5524,0,5,2.188,11.0,1.0636,aca1a47,1,300.0,16,16,True,,4,2,0,2,0,127,0,104,0,7.108,2070da06d4a0
n2_chain_94c06314,5,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,14.1,26.7,20.725,7.132,True,0.9211,0.4067,0,1,1.876,12.1,1.1653,aca1a47,1,300.0,16,16,True,,5,2,1,2,0,121,1,128,0,8.9156,2070da06d4a0
n2_chain_874989c6,4,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,11.8,23.1,20.658,3.633,True,0.9207,0.5524,0,2,2.26,11.0,1.0727,aca1a47,2,300.0,16,16,True,,4,1,1,2,0,141,1,104,0,7.108,2070da06d4a0
n2_chain_d4cd2878,6,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,9.1,17.2,17.231,0.959,True,1.7053,0.5008,0,0,1.448,8.8,1.0341,aca1a47,2,300.0,12,12,True,,4,2,0,2,0,123,0,84,0,10.3713,2070da06d4a0
n2_chain_d4cd2878,6,2,chain,12.0,2-3,1.0,0.55,lower_bound,ok,8.8,,,,,,,,,0.0,8.8,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_d4cd2878,6,2,chain,12.0,2-3,1.0,0.55,sequential,ok,16.1,24.9,16.733,8.8,True,5.626,0.5542,0,,0.007,8.8,1.8295,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_d4cd2878,6,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,9.1,17.2,17.231,0.959,True,1.7053,0.5008,0,0,1.986,8.8,1.0341,aca1a47,0,300.0,12,12,True,,4,2,0,2,0,123,0,84,0,10.3713,2070da06d4a0
n2_chain_94c06314,5,2,chain,12.0,2-3,1.0,0.55,lower_bound,ok,12.1,,,,,,,,,0.0,12.1,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_94c06314,5,2,chain,12.0,2-3,1.0,0.55,sequential,no_solution,,,,,,,,,,,12.1,,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_94c06314,5,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,14.0,26.5,21.221,6.502,True,0.9226,0.4308,0,3,2.617,12.1,1.157,aca1a47,0,300.0,16,16,True,,7,2,2,3,0,120,2,120,0,6.9359,2070da06d4a0
n2_chain_a9a6f99d,1,2,chain,12.0,2-3,1.0,0.55,wm_planner,unfinished:deadlock: no team progress,18.0,36.0,13.99,23.142,False,0.7002,0.3832,0,2,5.429,16.8,1.0714,aca1a47,1,300.0,16,16,True,deadlock: no team progress,3,1,2,0,0,223,2,152,0,11.898,2070da06d4a0
n2_chain_5849f8ee,3,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,22.0,42.6,44.061,3.576,True,0.9217,0.3217,0,2,4.563,19.7,1.1168,aca1a47,1,300.0,16,16,True,,2,2,0,0,0,278,0,184,0,8.5907,2070da06d4a0
n2_chain_d4cd2878,6,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,9.1,17.2,17.231,0.959,True,1.7053,0.5008,0,0,1.985,8.8,1.0341,aca1a47,1,300.0,12,12,True,,4,2,0,2,0,123,0,84,0,10.3713,2070da06d4a0
n2_chain_a9a6f99d,1,2,chain,12.0,2-3,1.0,0.55,lower_bound,ok,16.8,,,,,,,,,0.0,16.8,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_a9a6f99d,1,2,chain,12.0,2-3,1.0,0.55,sequential,ok,22.9,37.7,24.407,14.8,True,1.0593,0.3552,0,,0.007,16.8,1.3631,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_a9a6f99d,1,2,chain,12.0,2-3,1.0,0.55,wm_planner,unfinished:deadlock: no team progress,18.0,36.0,13.99,23.142,False,0.7002,0.3832,0,2,5.756,16.8,1.0714,aca1a47,0,300.0,16,16,True,deadlock: no team progress,3,1,2,0,0,223,2,152,0,11.898,2070da06d4a0
n2_chain_a9a6f99d,1,2,chain,12.0,2-3,1.0,0.55,wm_planner,unfinished:deadlock: no team progress,18.0,36.0,13.99,23.142,False,0.7002,0.3832,0,1,6.025,16.8,1.0714,aca1a47,2,300.0,16,16,True,deadlock: no team progress,3,1,2,0,0,223,2,152,0,11.898,2070da06d4a0
n2_chain_5849f8ee,3,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,25.6,48.9,47.063,7.415,True,0.9209,0.3257,0,1,5.32,19.7,1.2995,aca1a47,2,300.0,16,16,True,,5,2,2,1,0,297,2,216,0,12.0,2070da06d4a0
n2_chain_66a35431,8,2,chain,12.0,2-3,1.0,0.55,lower_bound,ok,10.3,,,,,,,,,0.0,10.3,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_66a35431,8,2,chain,12.0,2-3,1.0,0.55,sequential,ok,17.9,25.5,18.454,7.6,True,1.0794,0.4021,0,,0.005,10.3,1.7379,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_66a35431,8,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,12.1,21.0,19.471,2.478,True,0.9216,0.335,0,2,1.968,10.3,1.1748,aca1a47,0,300.0,16,16,True,,1,1,0,0,0,124,0,112,0,7.9258,2070da06d4a0
n2_chain_94c06314,5,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,14.3,24.6,20.296,5.435,True,0.9215,0.4308,0,2,3.456,12.1,1.1818,aca1a47,2,300.0,16,16,True,,4,2,1,1,0,113,1,128,0,8.9951,2070da06d4a0
n2_chain_c6c90b1b,7,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,14.5,28.4,19.872,8.711,True,0.9278,0.3374,0,3,2.199,12.9,1.124,aca1a47,2,300.0,16,16,True,,8,2,4,2,0,127,4,128,0,12.0,2070da06d4a0
n2_chain_5849f8ee,3,2,chain,12.0,2-3,1.0,0.55,lower_bound,ok,19.7,,,,,,,,,0.0,19.7,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_5849f8ee,3,2,chain,12.0,2-3,1.0,0.55,sequential,ok,38.2,56.8,42.599,18.6,True,2.2124,0.3828,0,,0.015,19.7,1.9391,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_5849f8ee,3,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,22.1,41.7,43.128,3.491,True,0.7395,0.3257,0,2,6.269,19.7,1.1218,aca1a47,0,300.0,16,16,True,,3,2,0,1,0,274,0,192,0,10.4418,2070da06d4a0
n2_chain_c6c90b1b,7,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,14.5,28.3,19.521,8.901,True,0.7002,0.3202,0,2,2.696,12.9,1.124,aca1a47,1,300.0,16,16,True,,6,1,2,2,1,141,2,128,0,11.7225,2070da06d4a0
n2_chain_66a35431,8,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,11.9,19.9,19.056,1.738,True,0.922,0.335,0,1,1.915,10.3,1.1553,aca1a47,1,300.0,16,16,True,,5,2,0,3,0,124,0,104,0,5.7334,2070da06d4a0
n2_chain_e5e9613a,9,2,chain,12.0,2-3,1.0,0.55,lower_bound,ok,14.6,,,,,,,,,0.0,14.6,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_e5e9613a,9,2,chain,12.0,2-3,1.0,0.55,sequential,ok,22.6,30.6,23.505,8.0,True,1.9005,0.4987,0,,0.006,14.6,1.5479,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_e5e9613a,9,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,14.9,23.3,23.486,1.037,True,2.0033,0.4037,0,1,2.229,14.6,1.0205,aca1a47,0,300.0,16,16,True,,5,2,0,3,0,179,0,128,0,8.0953,2070da06d4a0
n2_chain_e5e9613a,9,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,14.9,23.3,23.486,1.037,True,2.0033,0.4037,0,1,2.221,14.6,1.0205,aca1a47,2,300.0,16,16,True,,5,2,0,3,0,179,0,128,0,8.0953,2070da06d4a0
n2_chain_c6c90b1b,7,2,chain,12.0,2-3,1.0,0.55,lower_bound,ok,12.9,,,,,,,,,0.0,12.9,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_c6c90b1b,7,2,chain,12.0,2-3,1.0,0.55,sequential,ok,18.5,31.4,18.061,12.9,True,4.1293,0.3472,0,,0.008,12.9,1.4341,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_c6c90b1b,7,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,14.5,28.5,20.153,8.577,True,1.1038,0.3374,0,5,3.86,12.9,1.124,aca1a47,0,300.0,16,16,True,,8,2,4,2,0,128,4,128,0,12.0,2070da06d4a0
n2_chain_66a35431,8,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,11.9,19.9,19.034,1.756,True,0.8925,0.335,0,1,2.648,10.3,1.1553,aca1a47,2,300.0,16,16,True,,4,2,0,2,0,124,0,104,0,9.7184,2070da06d4a0
n2_chain_e5e9613a,9,2,chain,12.0,2-3,1.0,0.55,wm_planner,ok,14.9,23.3,23.486,1.037,True,2.0033,0.4037,0,1,3.072,14.6,1.0205,aca1a47,1,300.0,16,16,True,,5,2,0,3,0,179,0,128,0,8.0953,2070da06d4a0
n2_chain_d42c7a25,1,2,chain,12.0,4-6,0.0,0.55,wm_planner,ok,17.2,30.0,21.335,9.936,True,5.0976,0.4492,0,0,2.218,16.9,1.0178,aca1a47,1,300.0,16,16,True,,6,2,2,2,0,163,2,152,0,12.0,2070da06d4a0
n2_chain_d42c7a25,1,2,chain,12.0,4-6,0.0,0.55,lower_bound,ok,16.9,,,,,,,,,0.0,16.9,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_d42c7a25,1,2,chain,12.0,4-6,0.0,0.55,sequential,ok,20.3,37.2,21.335,16.9,True,5.1053,0.4601,0,,0.007,16.9,1.2012,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_d42c7a25,1,2,chain,12.0,4-6,0.0,0.55,wm_planner,ok,17.2,30.8,21.424,10.65,True,4.9576,0.4492,0,0,3.166,16.9,1.0178,aca1a47,0,300.0,16,16,True,,4,1,1,2,0,149,1,152,0,9.1819,2070da06d4a0
n2_chain_044fcb2b,3,2,chain,12.0,4-6,0.0,0.55,lower_bound,ok,13.3,,,,,,,,,0.0,13.3,1.0,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_044fcb2b,3,2,chain,12.0,4-6,0.0,0.55,sequential,ok,17.8,28.4,19.116,10.6,True,0.8432,0.4752,0,,0.006,13.3,1.3383,aca1a47,0,300.0,,,,,,,,,,,,,,,2070da06d4a0
n2_chain_044fcb2b,3,2,chain,12.0,4-6,0.0,0.55,wm_planner,ok,14.3,25.3,19.14,7.905,True,1.1478,0.4368,0,1,2.797,13.3,1.0752,aca1a47,0,300.0,16,16,True,,5,2,1,2,0,140,1,128,0,9.0493,2070da06d4a0
