uid,planner_seed,replan_idx,cluster_id,mode_idx,members,agent_tokens,k,density,y_exit,dt_delay,stalled
n2_chain_5fca519e,0,2,0,7,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,2,0,8,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,2,0,9,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,2,0,10,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,2,0,11,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,2,0,12,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,2,0,13,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,2,0,14,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,2,0,15,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,0,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,1,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,2,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,3,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,4,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,5,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,6,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,7,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,8,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,9,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,10,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,11,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,12,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,13,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,14,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,3,0,15,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,0,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,1,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,2,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,3,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,4,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,5,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,6,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,7,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,8,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,9,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,10,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,11,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,12,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,13,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,14,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,6,0,15,"0,1","[[-0.748499125893463, -0.6358235008400235, 1.1927211293949433, 0.13197084759465205, 0.0, 0.0, 1.0, 0.0], [0.7484991258934626, 0.6358235008400235, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,7,0,0,"0,1","[[-0.018490792855957672, -0.49031670804093386, 1.1806707736320383, 0.21451461817583456, 0.0, 0.0, 1.0, 0.0], [0.018490792855957672, 0.49031670804093386, -0.37778649348730253, -0.18351393772291066, 0.0, 0.0, 1.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,7,0,1,"0,1","[[-0.018490792855957672, -0.49031670804093386, 1.1806707736320383, 0.21451461817583456, 0.0, 0.0, 1.0, 0.0], [0.018490792855957672, 0.49031670804093386, -0.37778649348730253, -0.18351393772291066, 0.0, 0.0, 1.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,7,0,2,"0,1","[[-0.018490792855957672, -0.49031670804093386, 1.1806707736320383, 0.21451461817583456, 0.0, 0.0, 1.0, 0.0], [0.018490792855957672, 0.49031670804093386, -0.37778649348730253, -0.18351393772291066, 0.0, 0.0, 1.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,7,0,3,"0,1","[[-0.018490792855957672, -0.49031670804093386, 1.1806707736320383, 0.21451461817583456, 0.0, 0.0, 1.0, 0.0], [0.018490792855957672, 0.49031670804093386, -0.37778649348730253, -0.18351393772291066, 0.0, 0.0, 1.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,7,0,4,"0,1","[[-0.018490792855957672, -0.49031670804093386, 1.1806707736320383, 0.21451461817583456, 0.0, 0.0, 1.0, 0.0], [0.018490792855957672, 0.49031670804093386, -0.37778649348730253, -0.18351393772291066, 0.0, 0.0, 1.0, 0.0]]",2,0.0707355302630646,1,0.0,0
n2_chain_5fca519e,0,7,0,5,"0,1","[[-0.018490792855957672, -0.49031670804093386, 1.1806707736320383, 0.21451461817583456, 0.0, 0.0, 1.0, 0.0], [0.018490792855957672, 0.49031670804093386, -0.37778649348730253, -0.18351393772291066, 0.0, 0.0, 1.0, 0.0]]",2,0.0707355302630646,1,0.0,0
