uid,agent,route_idx,n_routes,length,len1,len2,hx,hy,sx,sy
n2_chain_47f74576,1,3,4,20.268168,10.450246,9.817921,-0.999955,-0.009537,11.432429,4.419424
n2_chain_5849f8ee,0,0,4,21.206510,10.641933,10.564577,-0.234533,0.972108,9.189092,1.095031
n2_chain_5849f8ee,0,1,4,21.833146,11.268569,10.564577,0.362586,0.931950,9.189092,1.095031
n2_chain_5849f8ee,0,2,4,22.296142,10.641933,11.654209,-0.234533,0.972108,9.189092,1.095031
n2_chain_5849f8ee,0,3,4,22.922778,11.268569,11.654209,0.362586,0.931950,9.189092,1.095031
n2_chain_5849f8ee,1,0,4,21.395534,11.403486,9.992049,0.234811,0.972041,4.562149,1.433842
n2_chain_5849f8ee,1,1,4,21.982991,11.403486,10.579505,0.234811,0.972041,4.562149,1.433842
n2_chain_5849f8ee,1,2,4,23.068311,13.076263,9.992049,0.040352,0.999186,4.562149,1.433842
n2_chain_5849f8ee,1,3,4,23.655768,13.076263,10.579505,0.040352,0.999186,4.562149,1.433842
n2_chain_598addcf,0,0,4,22.084683,11.363724,10.720958,-0.940927,-0.338609,11.412256,10.661199
n2_chain_598addcf,0,1,4,22.117353,11.396395,10.720958,-0.933725,-0.357991,11.412256,10.661199
n2_chain_598addcf,0,2,4,22.698722,11.363724,11.334998,-0.940927,-0.338609,11.412256,10.661199
n2_chain_598addcf,0,3,4,22.731393,11.396395,11.334998,-0.933725,-0.357991,11.412256,10.661199
n2_chain_598addcf,1,0,4,13.381441,3.152997,10.228445,-0.419565,0.907725,3.938552,8.375096
n2_chain_598addcf,1,1,4,14.557418,3.152997,11.404421,-0.419565,0.907725,3.938552,8.375096
n2_chain_598addcf,1,2,4,15.796975,5.568531,10.228445,0.977712,-0.209952,3.938552,8.375096
n2_chain_598addcf,1,3,4,16.972952,5.568531,11.404421,0.977712,-0.209952,3.938552,8.375096
n2_chain_5aa18f01,0,0,4,11.295787,3.923118,7.372669,-0.194471,-0.980908,9.108455,2.803939
n2_chain_5aa18f01,0,1,4,12.476908,3.923118,8.553790,-0.194471,-0.980908,9.108455,2.803939
n2_chain_5aa18f01,0,2,4,13.021479,5.648810,7.372669,-0.373806,0.927507,9.108455,2.803939
n2_chain_5aa18f01,0,3,4,14.202600,5.648810,8.553790,-0.373806,0.927507,9.108455,2.803939
n2_chain_5aa18f01,1,0,4,12.064938,6.600040,5.464898,-0.143366,-0.989670,8.812330,9.430222
n2_chain_5aa18f01,1,1,4,12.158645,6.600040,5.558605,-0.143366,-0.989670,8.812330,9.430222
