uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,max_accel,phys_fp
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.6,23.2,14.422,8.6,True,3.4653,0.4059,0,,0.005,9.3,1.5699,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.1,19.2,14.972,4.452,True,4.1846,0.3267,0,1,2.205,9.3,1.086,445f7ff,0,300.0,16,16,True,,0,0,13.5172,43ec5c75ad5c
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,11.1,,,,,,,,,0.0,11.1,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.9,29.0,19.241,11.1,True,0.8088,0.4239,0,,0.006,11.1,1.6126,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.4,20.8,19.412,3.055,True,2.4319,0.4314,0,1,2.222,11.1,1.027,445f7ff,0,300.0,16,16,True,,0,0,17.148,43ec5c75ad5c
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.1,17.7,15.083,2.849,True,0.9183,0.6245,0,1,2.259,8.5,1.0706,445f7ff,2,300.0,16,16,True,,0,0,16.7798,43ec5c75ad5c
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.5,21.0,19.327,3.333,True,2.4319,0.4314,0,1,2.448,11.1,1.036,445f7ff,2,300.0,16,16,True,,0,0,15.0847,43ec5c75ad5c
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,8.5,,,,,,,,,0.0,8.5,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,sequential,no_solution,,,,,,,,,,,8.5,,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.2,17.9,14.147,3.829,True,0.9183,0.8362,0,0,2.346,8.5,1.0824,445f7ff,0,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.5,,,,,,,,,0.0,9.5,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,sequential,ok,12.7,21.6,11.224,8.9,True,2.867,0.466,0,,0.006,9.5,1.3368,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.5,20.0,11.161,7.558,True,2.867,0.4308,0,1,2.654,9.5,1.1053,445f7ff,0,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.1,19.2,14.972,4.452,True,4.1846,0.3267,0,0,2.687,9.3,1.086,445f7ff,2,300.0,16,16,True,,0,0,13.5172,43ec5c75ad5c
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.4,21.0,19.699,3.085,True,2.4319,0.4314,0,1,2.96,11.1,1.027,445f7ff,1,300.0,16,16,True,,0,0,17.148,43ec5c75ad5c
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,7.9,14.2,10.993,2.733,True,3.784,0.8647,0,0,1.21,7.8,1.0128,445f7ff,1,300.0,16,16,True,,0,0,14.0148,43ec5c75ad5c
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,7.9,14.2,10.993,2.733,True,3.784,0.8647,0,0,1.413,7.8,1.0128,445f7ff,2,300.0,16,16,True,,0,0,14.0148,43ec5c75ad5c
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,7.8,,,,,,,,,0.0,7.8,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,sequential,ok,11.7,19.5,10.932,7.8,True,1.9208,0.8647,0,,0.006,7.8,1.5,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,7.9,14.2,10.993,2.733,True,3.784,0.8647,0,0,1.701,7.8,1.0128,445f7ff,0,300.0,16,16,True,,0,0,14.0148,43ec5c75ad5c
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.2,,,,,,,,,0.0,10.2,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.4,25.0,17.749,7.6,True,2.972,0.3918,0,,0.006,10.2,1.7059,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.3,19.4,18.503,1.725,True,1.0806,0.3283,0,0,2.021,10.2,1.1078,445f7ff,0,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,14.1,20.5,18.455,2.467,True,1.6764,0.433,0,2,2.15,13.2,1.0682,445f7ff,2,300.0,16,16,True,,0,0,19.6194,43ec5c75ad5c
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,14.0,20.5,18.2,2.681,True,1.6766,0.347,0,0,2.212,13.2,1.0606,445f7ff,1,300.0,16,16,True,,0,0,14.5102,43ec5c75ad5c
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.3,19.4,18.504,1.676,True,1.0278,0.3736,0,0,2.204,10.2,1.1078,445f7ff,1,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,13.2,,,,,,,,,0.0,13.2,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,sequential,ok,18.0,24.3,17.987,6.3,True,1.6358,0.4114,0,,0.006,13.2,1.3636,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,13.9,20.3,18.193,2.485,True,1.6766,0.347,0,1,2.666,13.2,1.053,445f7ff,0,300.0,16,16,True,,0,0,12.4324,43ec5c75ad5c
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,6.5,11.9,11.562,0.437,True,0.9657,0.4378,0,0,0.787,6.5,1.0,445f7ff,1,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.4,19.6,18.502,1.927,True,1.0773,0.3329,0,0,2.837,10.2,1.1176,445f7ff,2,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,6.5,11.9,11.562,0.437,True,0.9657,0.4378,0,0,0.923,6.5,1.0,445f7ff,2,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,6.5,,,,,,,,,0.0,6.5,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,sequential,ok,11.7,18.2,11.413,6.5,True,2.5347,0.4599,0,,0.004,6.5,1.8,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,6.5,11.9,11.562,0.437,True,0.9657,0.4378,0,0,1.138,6.5,1.0,445f7ff,0,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,11.0,22.0,8.763,14.697,False,5.1442,0.4308,0,0,2.623,10.6,1.0377,445f7ff,1,300.0,16,16,True,deadlock: no team progress,0,0,12.0,43ec5c75ad5c
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.2,21.6,18.302,4.069,True,1.2538,0.3205,0,0,2.891,11.5,1.0609,445f7ff,2,300.0,16,16,True,,0,0,16.2385,43ec5c75ad5c
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,11.5,,,,,,,,,0.0,11.5,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.8,26.8,18.189,9.0,True,1.1895,0.4006,0,,0.009,11.5,1.5478,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.1,21.4,19.062,3.236,True,1.2538,0.3333,0,1,3.138,11.5,1.0522,445f7ff,0,300.0,16,16,False,,0,0,16.2385,43ec5c75ad5c
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.2,21.6,18.255,4.122,True,1.2538,0.4335,0,1,3.181,11.5,1.0609,445f7ff,1,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,11.0,22.0,8.763,14.697,False,5.1442,0.4308,0,0,2.987,10.6,1.0377,445f7ff,2,300.0,16,16,True,deadlock: no team progress,0,0,12.0,43ec5c75ad5c
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,9.3,,,,,,,,,0.0,9.3,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,sequential,no_solution,,,,,,,,,,,9.3,,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.4,18.5,15.807,2.656,True,1.0015,0.7751,0,0,1.893,9.3,1.0108,445f7ff,0,300.0,16,16,True,,0,0,14.0152,43ec5c75ad5c
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.4,18.4,15.168,3.089,True,0.9496,0.582,0,0,1.969,9.3,1.0108,445f7ff,1,300.0,16,16,True,,0,0,19.4162,43ec5c75ad5c
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.4,18.4,15.039,3.194,True,1.0075,0.6758,0,0,1.811,9.3,1.0108,445f7ff,2,300.0,16,16,True,,0,0,14.7511,43ec5c75ad5c
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.6,,,,,,,,,0.0,10.6,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,sequential,ok,18.7,28.6,19.376,9.9,True,1.0228,0.4123,0,,0.011,10.6,1.7642,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,11.0,22.0,8.763,14.697,False,5.1442,0.4308,0,0,4.07,10.6,1.0377,445f7ff,0,300.0,16,16,True,deadlock: no team progress,0,0,12.0,43ec5c75ad5c
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.1,27.3,21.663,6.981,True,0.9766,0.3267,0,1,3.217,13.0,1.0846,445f7ff,1,300.0,16,16,True,,0,0,23.8397,43ec5c75ad5c
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.7,18.8,11.161,7.158,True,2.867,0.4308,0,1,1.804,8.7,1.1149,445f7ff,2,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,8.7,,,,,,,,,0.0,8.7,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,sequential,ok,11.9,20.4,11.224,8.5,True,2.867,0.466,0,,0.003,8.7,1.3678,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.7,18.8,11.161,7.158,True,2.867,0.4308,0,1,2.093,8.7,1.1149,445f7ff,0,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,13.2,,,,,,,,,0.0,13.2,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,sequential,ok,18.0,23.9,17.987,5.9,True,1.6358,0.4114,0,,0.008,13.2,1.3636,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,13.9,19.9,18.193,2.085,True,1.6766,0.347,0,1,2.058,13.2,1.053,445f7ff,0,300.0,16,16,True,,0,0,12.4324,43ec5c75ad5c
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,7.3,,,,,,,,,0.0,7.3,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,sequential,ok,11.6,15.9,10.755,4.3,True,1.1229,0.4983,0,,0.004,7.3,1.589,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,7.5,11.8,10.899,0.408,True,0.8893,0.5515,0,2,0.93,7.3,1.0274,445f7ff,0,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.7,18.8,11.161,7.158,True,2.867,0.4308,0,1,2.54,8.7,1.1149,445f7ff,1,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.0,20.1,18.2,2.281,True,1.6766,0.347,0,0,2.125,13.2,1.0606,445f7ff,1,300.0,16,16,True,,0,0,14.5102,43ec5c75ad5c
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,7.5,11.8,10.899,0.408,True,0.8893,0.5515,0,2,0.927,7.3,1.0274,445f7ff,1,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,11.0,19.0,13.421,4.734,True,0.9567,0.4151,0,1,1.697,10.5,1.0476,445f7ff,1,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,13.0,,,,,,,,,0.0,13.0,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,sequential,no_solution,,,,,,,,,,,13.0,,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.2,27.3,21.851,6.809,True,1.0047,0.3208,0,0,4.48,13.0,1.0923,445f7ff,0,300.0,16,16,True,,0,0,20.399,43ec5c75ad5c
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.2,27.3,21.864,6.798,True,1.0051,0.323,0,2,4.65,13.0,1.0923,445f7ff,2,300.0,16,16,True,,0,0,20.399,43ec5c75ad5c
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,7.5,11.8,10.899,0.408,True,0.8893,0.5515,0,2,1.086,7.3,1.0274,445f7ff,2,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,11.0,19.0,13.433,4.725,True,0.9797,0.3606,0,2,1.864,10.5,1.0476,445f7ff,2,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,17.6,33.8,29.649,6.8,True,0.7736,0.4348,0,2,3.75,14.6,1.2055,445f7ff,1,300.0,16,16,True,,0,0,12.3349,43ec5c75ad5c
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.1,20.1,18.455,2.067,True,1.6764,0.433,0,2,2.532,13.2,1.0682,445f7ff,2,300.0,16,16,True,,0,0,19.6194,43ec5c75ad5c
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,10.5,,,,,,,,,0.0,10.5,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,sequential,ok,14.6,22.6,13.419,8.0,True,2.2193,0.447,0,,0.007,10.5,1.3905,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,11.0,19.0,13.433,4.725,True,0.9797,0.3606,0,2,2.495,10.5,1.0476,445f7ff,0,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,18.0,33.1,29.072,6.544,True,0.7583,0.4328,0,3,5.088,14.6,1.2329,445f7ff,2,300.0,16,16,True,,0,0,14.6914,43ec5c75ad5c
n2_chain_78a396e2,8,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,13.3,23.8,20.301,4.131,True,0.8001,0.3226,0,4,2.52,12.1,1.0992,445f7ff,1,300.0,16,16,True,,0,0,13.5281,43ec5c75ad5c
n2_chain_f56c6588,1,2,chain,8.0,4-6,0.0,0.55,wm_planner,ok,10.0,17.2,15.574,1.499,True,2.8553,0.3221,0,1,1.805,9.2,1.087,445f7ff,1,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_f56c6588,1,2,chain,8.0,4-6,0.0,0.55,lower_bound,ok,9.2,,,,,,,,,0.0,9.2,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_f56c6588,1,2,chain,8.0,4-6,0.0,0.55,sequential,ok,16.0,23.2,15.59,7.2,True,3.0239,0.4082,0,,0.005,9.2,1.7391,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_f56c6588,1,2,chain,8.0,4-6,0.0,0.55,wm_planner,ok,10.0,17.4,15.868,1.499,True,2.8417,0.3221,0,1,1.851,9.2,1.087,445f7ff,0,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_78a396e2,8,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,12.1,,,,,,,,,0.0,12.1,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_78a396e2,8,2,chain,8.0,2-3,1.0,0.55,sequential,ok,18.5,28.3,18.458,9.8,True,1.1895,0.4006,0,,0.006,12.1,1.5289,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_78a396e2,8,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,13.9,25.0,22.378,3.6,True,0.7995,0.3242,0,4,2.812,12.1,1.1488,445f7ff,0,300.0,16,16,True,,0,0,20.7734,43ec5c75ad5c
n2_chain_3c3d12e3,9,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,12.2,,,,,,,,,0.0,12.2,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_3c3d12e3,9,2,chain,8.0,2-3,1.0,0.55,sequential,ok,18.1,26.6,17.64,8.5,True,1.0228,0.4104,0,,0.01,12.2,1.4836,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_3c3d12e3,9,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,13.5,23.4,19.69,3.885,True,0.9201,0.4306,0,3,2.492,12.2,1.1066,445f7ff,0,300.0,16,16,True,,0,0,14.2287,43ec5c75ad5c
n2_chain_3c3d12e3,9,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,13.5,23.4,19.69,3.885,True,0.9201,0.4306,0,2,2.619,12.2,1.1066,445f7ff,2,300.0,16,16,True,,0,0,14.2287,43ec5c75ad5c
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,14.6,,,,,,,,,0.0,14.6,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,sequential,no_solution,,,,,,,,,,,14.6,,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,17.4,33.6,29.017,7.054,True,0.7472,0.321,0,4,5.508,14.6,1.1918,445f7ff,0,300.0,16,16,True,,0,0,14.4935,43ec5c75ad5c
n2_chain_f56c6588,1,2,chain,8.0,4-6,0.0,0.55,wm_planner,ok,10.0,17.2,15.574,1.499,True,2.8553,0.3221,0,1,2.407,9.2,1.087,445f7ff,2,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_f6ec0587,0,2,chain,8.0,4-6,0.0,0.55,wm_planner,ok,12.8,23.1,16.921,6.674,True,1.1382,0.3281,0,1,3.032,11.8,1.0847,445f7ff,1,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_78a396e2,8,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,13.5,23.9,20.484,4.079,True,0.925,0.3248,0,2,3.709,12.1,1.1157,445f7ff,2,300.0,16,16,True,,0,0,13.9924,43ec5c75ad5c
n2_chain_3c3d12e3,9,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,13.6,23.7,19.453,4.381,True,0.8141,0.369,0,0,3.679,12.2,1.1148,445f7ff,1,300.0,16,16,True,,0,0,15.1507,43ec5c75ad5c
n2_chain_f6ec0587,0,2,chain,8.0,4-6,0.0,0.55,wm_planner,ok,12.8,22.7,17.278,5.926,True,1.2645,0.3281,0,2,3.8,11.8,1.0847,445f7ff,2,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_f6ec0587,0,2,chain,8.0,4-6,0.0,0.55,lower_bound,ok,11.8,,,,,,,,,0.0,11.8,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_f6ec0587,0,2,chain,8.0,4-6,0.0,0.55,sequential,no_solution,,,,,,,,,,,11.8,,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_f6ec0587,0,2,chain,8.0,4-6,0.0,0.55,wm_planner,ok,12.7,22.6,17.01,6.049,True,1.1943,0.3281,0,1,3.656,11.8,1.0763,445f7ff,0,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_02d7ec57,4,2,chain,8.0,4-6,0.0,0.55,lower_bound,ok,10.7,,,,,,,,,0.0,10.7,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_02d7ec57,4,2,chain,8.0,4-6,0.0,0.55,sequential,ok,18.3,29.0,17.875,10.7,True,5.0304,0.4259,0,,0.004,10.7,1.7103,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_02d7ec57,4,2,chain,8.0,4-6,0.0,0.55,wm_planner,ok,11.2,20.3,18.273,2.022,True,4.127,0.3291,0,0,1.945,10.7,1.0467,445f7ff,0,300.0,16,16,True,,0,0,15.1541,43ec5c75ad5c
n2_chain_23cd6768,3,2,chain,8.0,4-6,0.0,0.55,wm_planner,ok,10.9,19.0,13.975,5.479,True,1.4577,0.3575,0,1,2.142,9.9,1.101,445f7ff,2,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
