uid,planner_seed,replan_idx,cluster_id,mode_idx,members,agent_tokens,obstacle_tokens,mode,k,density,y_exit,dt_delay,solo_exit_s,stalled
n2_chain_5fca519e,0,1,0,8,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r03|A>B|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,9,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r03|B>A,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,10,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r12|A>B|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,11,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r21|A>B,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,12,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r13|A>B,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,13,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r22|B>A|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,14,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r31|A>B|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,15,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r32|B>A|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,0,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r00|A>B,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,1,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r10|A>B,2,0.0707355302630646,1,-9.9,10.0,0
