uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_evals,n_stalled_evals,max_accel,phys_fp
n2_none_916bffe1,8,2,none,12.0,2-3,0.0,0.55,lower_bound,ok,12.8,,,,,,,,,0.0,12.8,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_916bffe1,8,2,none,12.0,2-3,0.0,0.55,sequential,no_solution,,,,,,,,,,,12.8,,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_916bffe1,8,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,13.5,21.5,21.632,1.547,True,2.0565,0.3874,0,0,2.543,12.8,1.0547,88755d1,0,300.0,16,16,True,,5,2,0,3,0,160,0,120,0,6.9398,34f7729fcabc
n2_none_ab96170e,9,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,16.7,25.5,25.079,1.92,True,2.0654,0.3247,0,2,2.518,13.5,1.237,88755d1,2,300.0,16,16,True,,4,2,0,2,0,178,0,144,0,4.9238,34f7729fcabc
n2_none_d4bcc30c,0,2,none,12.0,2-3,1.0,0.55,wm_planner,ok,11.8,22.9,21.838,2.012,True,0.9239,0.4517,0,2,2.284,11.4,1.0351,88755d1,2,300.0,16,16,True,,5,2,0,3,0,146,0,104,0,9.5445,34f7729fcabc
n2_none_916bffe1,8,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,13.5,21.5,21.637,1.545,True,2.0565,0.3907,0,0,3.012,12.8,1.0547,88755d1,2,300.0,16,16,True,,4,2,0,2,0,161,0,120,0,7.4568,34f7729fcabc
n2_none_d4bcc30c,0,2,none,12.0,2-3,1.0,0.55,wm_planner,ok,11.8,22.9,21.835,2.015,True,0.9215,0.4517,0,2,2.64,11.4,1.0351,88755d1,1,300.0,16,16,True,,4,2,0,2,0,146,0,104,0,9.5445,34f7729fcabc
n2_none_89872620,1,2,none,12.0,2-3,1.0,0.55,lower_bound,ok,14.8,,,,,,,,,0.0,14.8,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_89872620,1,2,none,12.0,2-3,1.0,0.55,sequential,ok,22.9,31.0,24.407,8.1,True,2.0851,0.3552,0,,0.013,14.8,1.5473,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_89872620,1,2,none,12.0,2-3,1.0,0.55,wm_planner,ok,15.7,24.4,24.74,1.481,True,0.9874,0.3616,0,2,2.431,14.8,1.0608,88755d1,0,300.0,16,16,True,,3,1,0,2,0,177,0,136,0,9.4709,34f7729fcabc
n2_none_ab96170e,9,2,none,12.0,2-3,0.0,0.55,lower_bound,ok,13.5,,,,,,,,,0.0,13.5,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_ab96170e,9,2,none,12.0,2-3,0.0,0.55,sequential,ok,21.9,30.3,22.735,8.4,True,3.1582,0.3735,0,,0.011,13.5,1.6222,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_ab96170e,9,2,none,12.0,2-3,0.0,0.55,wm_planner,ok,16.2,25.0,24.244,2.103,True,3.1582,0.32,0,2,3.323,13.5,1.2,88755d1,0,300.0,16,16,True,,5,2,0,3,0,174,0,144,0,4.9238,34f7729fcabc
n2_none_d4bcc30c,0,2,none,12.0,2-3,1.0,0.55,lower_bound,ok,11.4,,,,,,,,,0.0,11.4,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_d4bcc30c,0,2,none,12.0,2-3,1.0,0.55,sequential,ok,20.5,29.6,21.025,9.1,True,1.1822,0.4712,0,,0.008,11.4,1.7982,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_d4bcc30c,0,2,none,12.0,2-3,1.0,0.55,wm_planner,ok,15.6,25.7,24.795,2.355,True,0.9337,0.3203,0,1,3.766,11.4,1.3684,88755d1,0,300.0,16,16,True,,5,2,0,3,0,168,0,136,0,6.5241,34f7729fcabc
