uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_free_steps_calls,n_agent_violations,n_obstacle_violations,min_agent_clearance,min_obstacle_clearance,first_violation_t,n_evals,n_stalled_evals,n_replans,n_replans_over_1s,replan_ms_median,replan_ms_p90,replan_ms_max,max_accel,phys_fp
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.9,29.0,19.241,11.1,True,0.8088,0.4239,0,,0.003,11.1,1.6126,b6767bd,0,300.0,,,,,,,,,,,,,0,0,0.808835,0.423921,-1,,,,,,,,,65eb7c9d9016
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.4,20.8,19.412,3.055,True,2.4319,0.4314,0,0,2.199,11.1,1.027,b6767bd,0,300.0,16,15,True,,0,0,0,0,0,155,0,192,0,0,2.431936,0.431395,-1,104,1,12,0,148.976,287.615,582.838,17.148,65eb7c9d9016
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.4,21.0,19.699,3.085,True,2.4319,0.4314,0,0,2.166,11.1,1.027,b6767bd,1,300.0,16,14,True,,0,0,0,0,0,156,0,194,0,0,2.431936,0.431395,-1,104,2,12,0,149.194,274.298,574.977,17.148,65eb7c9d9016
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.5,21.0,19.324,3.335,True,2.4486,0.4314,0,0,2.182,11.1,1.036,b6767bd,2,300.0,16,14,True,,0,0,0,0,0,155,0,194,0,0,2.448581,0.431395,-1,104,2,12,0,152.627,281.625,569.799,15.0847,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.5,,,,,,,,,0.0,9.5,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,sequential,ok,12.7,21.6,11.224,8.9,True,2.867,0.466,0,,0.002,9.5,1.3368,b6767bd,0,300.0,,,,,,,,,,,,,0,0,2.867013,0.465978,-1,,,,,,,,,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.5,20.0,11.161,7.558,True,2.867,0.4308,0,0,1.525,9.5,1.1053,b6767bd,0,300.0,12,12,True,,0,0,0,0,0,86,0,168,0,0,2.867013,0.430786,-1,92,0,11,0,109.864,235.477,394.687,12.0,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.5,20.0,11.161,7.558,True,2.867,0.4308,0,0,1.514,9.5,1.1053,b6767bd,1,300.0,12,12,True,,0,0,0,0,0,86,0,168,0,0,2.867013,0.430786,-1,92,0,11,0,110.077,231.28,389.472,12.0,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.5,20.0,11.161,7.558,True,2.867,0.4308,0,0,1.565,9.5,1.1053,b6767bd,2,300.0,12,12,True,,0,0,0,0,0,86,0,168,0,0,2.867013,0.430786,-1,92,0,11,0,125.684,236.55,392.693,12.0,65eb7c9d9016
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,13.2,,,,,,,,,0.0,13.2,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,sequential,ok,18.0,24.3,17.987,6.3,True,1.6358,0.4114,0,,0.003,13.2,1.3636,b6767bd,0,300.0,,,,,,,,,,,,,0,0,1.635818,0.411397,-1,,,,,,,,,65eb7c9d9016
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,14.0,20.5,18.197,2.681,True,1.6766,0.347,0,0,2.138,13.2,1.0606,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,142,0,177,0,0,1.676593,0.346953,-1,120,1,14,0,140.197,208.438,475.636,14.5102,65eb7c9d9016
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,14.0,20.5,18.2,2.681,True,1.6766,0.347,0,0,2.152,13.2,1.0606,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,142,0,177,0,0,1.676593,0.346953,-1,120,0,14,0,145.516,205.463,459.212,14.5102,65eb7c9d9016
n2_chain_19520b24,5,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,14.1,20.6,18.219,2.765,True,1.6766,0.347,0,1,2.404,13.2,1.0682,b6767bd,2,300.0,16,16,True,,0,0,0,0,0,140,0,178,0,0,1.676593,0.346953,-1,128,2,15,0,165.983,219.886,492.245,12.807,65eb7c9d9016
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.2,,,,,,,,,0.0,10.2,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.4,25.0,17.749,7.6,True,2.972,0.3918,0,,0.003,10.2,1.7059,b6767bd,0,300.0,,,,,,,,,,,,,0,0,2.972035,0.391758,-1,,,,,,,,,65eb7c9d9016
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.3,19.4,18.503,1.725,True,1.0806,0.3283,0,0,2.096,10.2,1.1078,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,143,0,170,0,0,1.080631,0.328277,-1,104,15,12,0,153.749,239.227,561.777,12.0,65eb7c9d9016
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.3,19.4,18.504,1.676,True,1.0278,0.3736,0,0,2.105,10.2,1.1078,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,145,0,170,0,0,1.027801,0.373597,-1,104,12,12,0,138.41,263.149,614.14,12.0,65eb7c9d9016
n2_chain_810c8d4a,6,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.4,19.6,18.502,1.927,True,1.0773,0.3329,0,0,2.062,10.2,1.1176,b6767bd,2,300.0,16,16,True,,0,0,0,0,0,143,0,172,0,0,1.077305,0.332925,-1,104,12,12,0,139.973,264.202,531.906,12.0,65eb7c9d9016
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,7.8,,,,,,,,,0.0,7.8,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,sequential,ok,11.7,19.5,10.932,7.8,True,1.9208,0.8647,0,,0.003,7.8,1.5,b6767bd,0,300.0,,,,,,,,,,,,,0,0,1.920843,0.86471,-1,,,,,,,,,65eb7c9d9016
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,7.9,14.2,10.993,2.733,True,3.784,0.8647,0,0,0.986,7.8,1.0128,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,89,0,118,0,0,3.783975,0.86471,-1,72,0,8,0,90.321,217.772,370.494,14.0148,65eb7c9d9016
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,7.9,14.2,10.993,2.733,True,3.784,0.8647,0,0,0.967,7.8,1.0128,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,89,0,118,0,0,3.783975,0.86471,-1,72,0,8,0,93.692,221.353,372.629,14.0148,65eb7c9d9016
n2_chain_0870fe7e,7,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,7.9,14.2,10.993,2.733,True,3.784,0.8647,0,0,0.961,7.8,1.0128,b6767bd,2,300.0,16,16,True,,0,0,0,0,0,89,0,118,0,0,3.783975,0.86471,-1,72,0,8,0,89.96,217.607,367.33,14.0148,65eb7c9d9016
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,11.5,,,,,,,,,0.0,11.5,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,sequential,ok,17.8,26.8,18.189,9.0,True,1.1895,0.4006,0,,0.003,11.5,1.5478,b6767bd,0,300.0,,,,,,,,,,,,,0,0,1.189462,0.40057,-1,,,,,,,,,65eb7c9d9016
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.2,21.6,19.066,3.433,True,1.2538,0.3205,0,0,2.124,11.5,1.0609,b6767bd,0,300.0,16,11,True,,0,0,0,0,0,149,0,192,0,0,1.253811,0.320488,-1,112,11,13,0,126.353,260.898,579.871,16.2385,65eb7c9d9016
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.2,21.6,18.896,3.589,True,1.2538,0.3321,0,0,2.246,11.5,1.0609,b6767bd,1,300.0,16,14,True,,0,0,0,0,0,141,0,192,0,0,1.253811,0.332086,-1,112,2,13,0,128.32,274.961,608.53,12.0,65eb7c9d9016
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.2,21.6,18.302,4.069,True,1.2538,0.3205,0,0,2.132,11.5,1.0609,b6767bd,2,300.0,16,12,True,,0,0,0,0,0,145,0,192,0,0,1.253811,0.320488,-1,112,9,13,0,139.09,259.146,575.471,16.2385,65eb7c9d9016
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.6,,,,,,,,,0.0,10.6,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,sequential,ok,18.7,28.6,19.376,9.9,True,1.0228,0.4123,0,,0.003,10.6,1.7642,b6767bd,0,300.0,,,,,,,,,,,,,0,0,1.022767,0.412316,-1,,,,,,,,,65eb7c9d9016
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,12.0,24.0,8.881,16.599,False,4.9844,0.4308,0,0,2.558,10.6,1.1321,b6767bd,0,300.0,16,2,True,deadlock: no team progress,0,0,0,0,0,22,0,240,0,0,4.984424,0.430834,-1,104,102,12,0,152.307,274.517,584.642,12.0,65eb7c9d9016
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,12.0,24.0,8.763,16.697,False,5.1442,0.4308,0,0,2.522,10.6,1.1321,b6767bd,1,300.0,16,3,True,deadlock: no team progress,0,0,0,0,0,22,0,240,0,0,5.144205,0.430834,-1,104,101,12,0,152.293,264.31,565.47,12.0,65eb7c9d9016
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,12.0,24.0,8.737,16.719,False,4.9401,0.3206,0,0,2.496,10.6,1.1321,b6767bd,2,300.0,16,2,True,deadlock: no team progress,0,0,0,0,0,25,0,240,0,0,4.940121,0.320644,-1,104,102,12,0,150.141,261.417,564.293,12.0,65eb7c9d9016
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,13.0,,,,,,,,,0.0,13.0,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,sequential,no_solution,,,,,,,,,,,13.0,,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.2,27.3,21.851,6.809,True,1.0047,0.3208,0,0,3.402,13.0,1.0923,b6767bd,0,300.0,16,15,True,,0,0,0,0,0,154,0,249,0,0,1.004668,0.320788,-1,128,7,15,0,225.664,313.957,647.855,20.399,65eb7c9d9016
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.2,27.4,21.872,6.824,True,1.0082,0.3208,0,0,3.35,13.0,1.0923,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,155,0,250,0,0,1.008222,0.320788,-1,128,2,15,0,201.306,305.765,652.656,20.399,65eb7c9d9016
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.3,27.7,21.801,7.244,True,0.9742,0.3232,0,0,3.459,13.0,1.1,b6767bd,2,300.0,16,15,True,,0,0,0,0,0,150,0,253,0,0,0.974229,0.323224,-1,128,2,15,0,212.405,322.455,659.752,17.0615,65eb7c9d9016
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,6.5,,,,,,,,,0.0,6.5,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,sequential,ok,11.7,18.2,11.413,6.5,True,2.5347,0.4599,0,,0.002,6.5,1.8,b6767bd,0,300.0,,,,,,,,,,,,,0,0,2.534715,0.459927,-1,,,,,,,,,65eb7c9d9016
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,6.5,11.9,11.562,0.437,True,0.9657,0.4378,0,0,0.654,6.5,1.0,b6767bd,0,300.0,12,12,True,,0,0,0,0,0,92,0,99,0,0,0.965736,0.437832,-1,60,0,7,0,81.154,166.716,234.251,12.0,65eb7c9d9016
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,6.5,11.9,11.562,0.437,True,0.9657,0.4378,0,0,0.668,6.5,1.0,b6767bd,1,300.0,12,12,True,,0,0,0,0,0,92,0,99,0,0,0.965736,0.437832,-1,60,0,7,0,80.101,172.468,244.648,12.0,65eb7c9d9016
n2_chain_2f442b4e,1,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,6.5,11.9,11.562,0.437,True,0.9657,0.4378,0,0,0.648,6.5,1.0,b6767bd,2,300.0,12,12,True,,0,0,0,0,0,92,0,99,0,0,0.965736,0.437832,-1,60,0,7,0,81.831,165.775,233.953,12.0,65eb7c9d9016
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,9.3,,,,,,,,,0.0,9.3,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,sequential,no_solution,,,,,,,,,,,9.3,,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.4,18.5,15.807,2.656,True,1.0015,0.7751,0,0,1.612,9.3,1.0108,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,115,0,157,0,0,1.001524,0.77509,-1,88,1,10,0,123.408,261.592,523.186,14.0152,65eb7c9d9016
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.4,18.4,15.039,3.194,True,1.0075,0.6758,0,0,1.546,9.3,1.0108,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,107,0,156,0,0,1.00755,0.675773,-1,88,0,10,0,118.597,244.737,511.08,14.7511,65eb7c9d9016
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.4,18.4,15.039,3.194,True,1.0075,0.6758,0,0,1.562,9.3,1.0108,b6767bd,2,300.0,16,16,True,,0,0,0,0,0,107,0,156,0,0,1.00755,0.675773,-1,88,0,10,0,121.893,245.71,512.558,14.7511,65eb7c9d9016
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,14.6,,,,,,,,,0.0,14.6,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,sequential,no_solution,,,,,,,,,,,14.6,,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,15.8,30.0,30.531,2.201,True,0.923,0.3255,0,2,3.62,14.6,1.0822,b6767bd,0,300.0,16,15,True,,0,0,0,0,0,233,0,276,0,0,0.922964,0.325463,-1,136,26,16,0,244.395,301.704,619.871,17.1487,65eb7c9d9016
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,15.9,30.4,30.845,2.446,True,0.9223,0.3317,0,2,3.493,14.6,1.089,b6767bd,1,300.0,16,14,True,,0,0,0,0,0,226,0,280,0,0,0.922265,0.331679,-1,136,46,16,0,218.975,294.67,617.977,23.4538,65eb7c9d9016
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,15.6,29.8,30.903,1.774,True,0.9348,0.3277,0,2,3.413,14.6,1.0685,b6767bd,2,300.0,16,13,True,,0,0,0,0,0,238,0,274,0,0,0.934792,0.327728,-1,136,23,16,0,227.116,284.565,598.407,15.0847,65eb7c9d9016
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,8.7,,,,,,,,,0.0,8.7,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,sequential,ok,11.9,20.4,11.224,8.5,True,2.867,0.466,0,,0.002,8.7,1.3678,b6767bd,0,300.0,,,,,,,,,,,,,0,0,2.867013,0.465978,-1,,,,,,,,,65eb7c9d9016
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.7,18.8,11.161,7.158,True,2.867,0.4308,0,0,1.43,8.7,1.1149,b6767bd,0,300.0,12,12,True,,0,0,0,0,0,86,0,164,0,0,2.867013,0.430786,-1,84,0,10,0,118.059,240.535,391.156,12.0,65eb7c9d9016
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.7,18.8,11.161,7.158,True,2.867,0.4308,0,0,1.464,8.7,1.1149,b6767bd,1,300.0,12,12,True,,0,0,0,0,0,86,0,164,0,0,2.867013,0.430786,-1,84,0,10,0,129.446,240.892,390.648,12.0,65eb7c9d9016
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.7,18.8,11.161,7.158,True,2.867,0.4308,0,0,1.426,8.7,1.1149,b6767bd,2,300.0,12,12,True,,0,0,0,0,0,86,0,164,0,0,2.867013,0.430786,-1,84,0,10,0,117.142,241.011,391.276,12.0,65eb7c9d9016
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,13.2,,,,,,,,,0.0,13.2,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,sequential,ok,18.0,23.9,17.987,5.9,True,1.6358,0.4114,0,,0.005,13.2,1.3636,b6767bd,0,300.0,,,,,,,,,,,,,0,0,1.635818,0.411397,-1,,,,,,,,,65eb7c9d9016
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.0,20.1,18.197,2.281,True,1.6766,0.347,0,0,2.057,13.2,1.0606,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,142,0,173,0,0,1.676593,0.346953,-1,120,1,14,0,136.586,200.683,451.364,14.5102,65eb7c9d9016
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.0,20.1,18.2,2.281,True,1.6766,0.347,0,0,2.103,13.2,1.0606,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,142,0,173,0,0,1.676593,0.346953,-1,120,0,14,0,139.83,204.652,446.696,14.5102,65eb7c9d9016
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.1,20.2,18.219,2.365,True,1.6766,0.347,0,1,2.104,13.2,1.0682,b6767bd,2,300.0,16,16,True,,0,0,0,0,0,140,0,174,0,0,1.676593,0.346953,-1,128,2,15,0,140.479,200.14,449.173,12.807,65eb7c9d9016
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,10.5,,,,,,,,,0.0,10.5,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,sequential,ok,14.6,22.6,13.419,8.0,True,2.2193,0.447,0,,0.002,10.5,1.3905,b6767bd,0,300.0,,,,,,,,,,,,,0,0,2.219347,0.447023,-1,,,,,,,,,65eb7c9d9016
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,11.0,19.0,13.421,4.734,True,0.9567,0.4151,0,1,1.556,10.5,1.0476,b6767bd,0,300.0,16,15,True,,0,0,0,0,0,108,0,158,0,0,0.956683,0.415148,-1,96,1,11,0,102.662,212.423,474.26,12.0,65eb7c9d9016
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,11.0,19.0,13.421,4.734,True,0.9567,0.4151,0,1,1.532,10.5,1.0476,b6767bd,1,300.0,16,15,True,,0,0,0,0,0,108,0,158,0,0,0.956683,0.415148,-1,96,1,11,0,99.354,210.56,471.993,12.0,65eb7c9d9016
