uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_free_steps_calls,n_agent_violations,n_obstacle_violations,min_agent_clearance,min_obstacle_clearance,first_violation_t,n_evals,n_stalled_evals,max_accel,phys_fp
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,15.3,29.3,21.352,9.161,True,1.0453,0.351,0,4,7.534,13.0,1.1769,1cabda9,2,300.0,16,16,True,,5,2,1,2,0,118,1,911,0,0,1.045332,0.350991,-1,136,0,8.1083,b414b4637808
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,10.1,19.4,11.173,7.86,True,2.867,0.3547,0,1,3.43,8.7,1.1609,1cabda9,1,300.0,12,12,True,,4,2,1,1,0,66,1,523,0,0,2.867013,0.354748,-1,92,0,9.441,b414b4637808
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.9,19.6,14.895,4.496,True,0.9498,0.6907,0,2,4.91,9.3,1.0645,1cabda9,2,300.0,16,16,True,,4,1,1,2,0,92,1,595,0,0,0.949798,0.690658,-1,88,0,9.411,b414b4637808
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,9.3,,,,,,,,,0.0,9.3,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,sequential,no_solution,,,,,,,,,,,9.3,,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_5a72ff5b,2,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,10.1,19.7,15.731,3.867,True,0.9514,0.7587,0,0,6.234,9.3,1.086,1cabda9,0,300.0,16,16,True,,5,2,1,2,0,87,1,617,0,0,0.951372,0.758656,-1,96,0,9.411,b414b4637808
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,8.7,,,,,,,,,0.0,8.7,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,sequential,ok,11.9,20.4,11.224,8.5,True,2.867,0.466,0,,0.005,8.7,1.3678,1cabda9,0,300.0,,,,,,,,,,,,,0,0,2.867013,0.465978,-1,,,,b414b4637808
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,10.1,19.4,11.173,7.86,True,2.867,0.3547,0,1,4.533,8.7,1.1609,1cabda9,0,300.0,12,12,True,,4,2,1,1,0,66,1,523,0,0,2.867013,0.354748,-1,92,0,9.441,b414b4637808
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,13.0,,,,,,,,,0.0,13.0,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
