uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,max_accel,phys_fp
n3_none_7d73ca9f,0,3,none,10.0,4-6,1.0,0.55,lower_bound,ok,13.2,,,,,,,,,0.0,13.2,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_7d73ca9f,0,3,none,10.0,4-6,1.0,0.55,sequential,no_solution,,,,,,,,,,,13.2,,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_7d73ca9f,0,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,14.9,39.7,35.155,6.164,True,0.9252,0.3364,0,4,5.843,13.2,1.1288,fb5c257,0,300.0,16,16,True,,7,2,1,4,0,203,1,11.257,2070da06d4a0
n3_none_7cf14884,9,3,none,10.0,4-6,0.0,0.55,lower_bound,ok,14.1,,,,,,,,,0.0,14.1,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_7cf14884,9,3,none,10.0,4-6,0.0,0.55,sequential,no_solution,,,,,,,,,,,14.1,,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_7cf14884,9,3,none,10.0,4-6,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,21.0,49.4,39.065,13.342,False,0.9749,0.3204,0,2,6.962,14.1,1.4894,fb5c257,0,300.0,16,16,True,deadlock: no team progress,8,3,2,3,0,236,2,11.9857,2070da06d4a0
n3_none_f78e9bd7,3,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,12.3,35.7,33.726,4.173,True,0.9269,0.3211,0,1,3.84,11.2,1.0982,fb5c257,1,300.0,16,16,True,,5,3,0,2,0,217,0,9.1726,2070da06d4a0
n3_none_7cf14884,9,3,none,10.0,4-6,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,22.0,49.9,39.211,13.765,False,0.9445,0.3205,0,3,8.336,14.1,1.5603,fb5c257,2,300.0,16,16,True,deadlock: no team progress,7,3,2,2,0,224,2,11.8688,2070da06d4a0
n3_none_0c852343,2,3,none,10.0,4-6,1.0,0.55,lower_bound,ok,14.7,,,,,,,,,0.0,14.7,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_0c852343,2,3,none,10.0,4-6,1.0,0.55,sequential,ok,36.4,79.8,39.088,43.4,True,1.0718,0.3823,0,,0.025,14.7,2.4762,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_0c852343,2,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,16.5,41.0,40.477,3.885,True,1.2,0.32,0,1,5.508,14.7,1.1224,fb5c257,0,300.0,16,16,True,,3,2,0,1,0,280,0,9.0392,2070da06d4a0
n3_none_f78e9bd7,3,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,12.3,35.7,33.645,4.228,True,0.9269,0.3211,0,1,4.335,11.2,1.0982,fb5c257,2,300.0,16,16,True,,5,3,0,2,0,216,0,9.1726,2070da06d4a0
n3_none_0c852343,2,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,16.7,41.8,40.782,4.402,True,1.1205,0.32,0,2,5.383,14.7,1.1361,fb5c257,2,300.0,16,16,True,,4,2,0,2,0,278,0,11.321,2070da06d4a0
n3_none_f78e9bd7,3,3,none,10.0,4-6,1.0,0.55,lower_bound,ok,11.2,,,,,,,,,0.0,11.2,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_f78e9bd7,3,3,none,10.0,4-6,1.0,0.55,sequential,no_solution,,,,,,,,,,,11.2,,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_f78e9bd7,3,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,12.9,36.9,34.155,5.011,True,0.9591,0.3211,0,3,5.419,11.2,1.1518,fb5c257,0,300.0,16,16,True,,5,3,0,2,0,225,0,9.1726,2070da06d4a0
n3_none_0c852343,2,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,16.4,40.2,39.744,3.722,True,1.3655,0.32,0,3,6.408,14.7,1.1156,fb5c257,1,300.0,16,16,True,,5,2,1,2,0,261,1,11.9523,2070da06d4a0
n3_none_c6ca2efb,5,3,none,10.0,4-6,1.0,0.55,lower_bound,ok,15.3,,,,,,,,,0.0,15.3,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_c6ca2efb,5,3,none,10.0,4-6,1.0,0.55,sequential,no_solution,,,,,,,,,,,15.3,,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_c6ca2efb,5,3,none,10.0,4-6,1.0,0.55,wm_planner,unfinished:deadlock: no team progress,22.0,38.9,29.837,10.974,False,0.9364,0.3227,0,1,4.811,15.3,1.4379,fb5c257,0,300.0,16,16,True,deadlock: no team progress,8,3,3,2,0,206,3,11.9352,2070da06d4a0
n3_none_c112bf4c,4,3,none,10.0,4-6,1.0,0.55,lower_bound,ok,16.4,,,,,,,,,0.0,16.4,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_c112bf4c,4,3,none,10.0,4-6,1.0,0.55,sequential,no_solution,,,,,,,,,,,16.4,,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_c112bf4c,4,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,18.2,52.1,50.115,7.401,True,0.9326,0.3207,0,7,6.56,16.4,1.1098,fb5c257,0,300.0,16,16,True,,4,3,1,0,0,246,1,9.1675,2070da06d4a0
n3_none_3e681c65,6,3,none,10.0,4-6,1.0,0.55,lower_bound,ok,13.6,,,,,,,,,0.0,13.6,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_3e681c65,6,3,none,10.0,4-6,1.0,0.55,sequential,no_solution,,,,,,,,,,,13.6,,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_3e681c65,6,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,14.2,36.1,34.876,4.039,True,1.4578,0.3203,0,4,4.761,13.6,1.0441,fb5c257,0,300.0,16,16,True,,5,3,1,1,0,234,1,11.8454,2070da06d4a0
n3_none_c6ca2efb,5,3,none,10.0,4-6,1.0,0.55,wm_planner,unfinished:deadlock: no team progress,23.0,40.2,31.345,11.055,False,0.9837,0.3227,0,0,5.057,15.3,1.5033,fb5c257,2,300.0,16,16,True,deadlock: no team progress,6,2,2,2,0,215,2,11.9348,2070da06d4a0
n3_none_c112bf4c,4,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,18.9,51.6,49.52,7.369,True,0.9262,0.3207,0,5,6.163,16.4,1.1524,fb5c257,2,300.0,16,16,True,,6,3,1,2,0,249,1,9.7741,2070da06d4a0
n3_none_3e681c65,6,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,15.0,36.3,35.663,3.54,True,1.3115,0.328,0,2,4.827,13.6,1.1029,fb5c257,1,300.0,16,16,False,,5,3,1,1,0,227,1,9.9053,2070da06d4a0
n3_none_103859c5,7,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,17.3,31.3,27.674,5.512,True,1.0429,0.3213,0,1,3.653,15.2,1.1382,fb5c257,2,300.0,16,16,False,,8,3,3,2,0,164,3,12.0,2070da06d4a0
n3_none_103859c5,7,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,17.2,32.8,28.869,6.021,True,1.0782,0.3206,0,3,3.83,15.2,1.1316,fb5c257,1,300.0,16,16,True,,7,3,3,1,0,180,3,12.0,2070da06d4a0
n3_none_c6ca2efb,5,3,none,10.0,4-6,1.0,0.55,wm_planner,unfinished:deadlock: no team progress,22.0,39.8,29.876,11.846,False,0.9286,0.3227,0,1,5.908,15.3,1.4379,fb5c257,1,300.0,16,16,True,deadlock: no team progress,10,3,4,3,0,207,4,10.3811,2070da06d4a0
n3_none_103859c5,7,3,none,10.0,4-6,1.0,0.55,lower_bound,ok,15.2,,,,,,,,,0.0,15.2,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_103859c5,7,3,none,10.0,4-6,1.0,0.55,sequential,ok,24.9,48.1,26.136,23.2,True,0.9046,0.3573,0,,0.018,15.2,1.6382,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_103859c5,7,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,17.9,33.4,29.255,6.367,True,0.9557,0.32,0,3,4.149,15.2,1.1776,fb5c257,0,300.0,16,16,True,,6,3,3,0,0,174,3,12.0,2070da06d4a0
n3_none_c112bf4c,4,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,19.2,52.1,49.41,7.885,True,0.9326,0.3207,0,7,7.851,16.4,1.1707,fb5c257,1,300.0,16,16,True,,6,3,1,2,0,240,1,9.1675,2070da06d4a0
n3_none_3e681c65,6,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,14.9,35.7,34.943,3.522,True,1.4936,0.322,0,4,5.435,13.6,1.0956,fb5c257,2,300.0,16,16,False,,7,3,1,3,0,227,1,12.0,2070da06d4a0
n3_none_3bdb3d71,8,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,14.2,39.9,32.962,8.573,True,0.9222,0.3202,0,4,5.04,11.6,1.2241,fb5c257,1,300.0,16,16,True,,5,3,1,1,0,169,1,11.0163,2070da06d4a0
n3_none_3bdb3d71,8,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,15.9,40.6,34.239,8.19,True,0.9201,0.3201,0,4,5.479,11.6,1.3707,fb5c257,2,300.0,16,16,True,,5,3,0,2,0,172,0,11.0555,2070da06d4a0
n3_none_3bdb3d71,8,3,none,10.0,4-6,1.0,0.55,lower_bound,ok,11.6,,,,,,,,,0.0,11.6,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_3bdb3d71,8,3,none,10.0,4-6,1.0,0.55,sequential,no_solution,,,,,,,,,,,11.6,,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_3bdb3d71,8,3,none,10.0,4-6,1.0,0.55,wm_planner,unfinished:deadlock: no team progress,20.0,45.5,28.887,17.517,False,0.9269,0.3209,0,3,6.473,11.6,1.7241,fb5c257,0,300.0,16,16,True,deadlock: no team progress,8,3,2,3,0,141,2,7.7625,2070da06d4a0
n3_none_d3ec6d38,0,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,17.0,39.5,36.514,5.259,True,0.9194,0.3201,0,3,4.565,15.4,1.1039,fb5c257,1,300.0,16,16,True,,9,3,2,4,0,226,2,12.0,2070da06d4a0
n3_none_17c15765,9,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,14.1,39.9,37.367,5.735,True,0.9218,0.3204,0,4,4.86,11.6,1.2155,fb5c257,2,300.0,16,16,True,,6,3,0,3,0,237,0,11.4568,2070da06d4a0
n3_none_d3ec6d38,0,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,17.1,39.8,36.093,5.868,True,0.8101,0.3201,0,2,4.852,15.4,1.1104,fb5c257,2,300.0,16,16,True,,7,3,2,2,0,214,2,12.0,2070da06d4a0
n3_none_17c15765,9,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,13.9,39.1,37.263,5.041,True,0.9208,0.321,0,2,5.016,11.6,1.1983,fb5c257,1,300.0,16,16,True,,6,3,0,3,0,219,0,11.4568,2070da06d4a0
n3_none_17c15765,9,3,none,10.0,4-6,1.0,0.55,lower_bound,ok,11.6,,,,,,,,,0.0,11.6,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_17c15765,9,3,none,10.0,4-6,1.0,0.55,sequential,no_solution,,,,,,,,,,,11.6,,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_17c15765,9,3,none,10.0,4-6,1.0,0.55,wm_planner,ok,15.7,43.2,39.7,7.13,True,0.94,0.3202,0,4,6.15,11.6,1.3534,fb5c257,0,300.0,16,16,True,,7,2,1,4,0,238,1,11.5372,2070da06d4a0
n3_none_c4d4559c,2,3,none,10.0,6-8,0.0,0.55,lower_bound,ok,13.1,,,,,,,,,0.0,13.1,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_c4d4559c,2,3,none,10.0,6-8,0.0,0.55,sequential,no_solution,,,,,,,,,,,13.1,,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_c4d4559c,2,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,15.1,39.4,35.367,6.183,True,0.8636,0.3202,0,3,5.321,13.1,1.1527,fb5c257,0,300.0,16,16,True,,7,3,1,3,0,187,1,9.8917,2070da06d4a0
n3_none_63cbafab,1,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,18.7,43.5,43.738,4.064,True,1.1705,0.3204,0,2,5.708,17.0,1.1,fb5c257,1,300.0,16,16,False,,7,3,0,4,0,293,0,11.738,2070da06d4a0
