[bench.run] 경고: wm_config 의 "seed": 0 를 무시한다. 플래너 seed 는 axis.planner_seeds 가 정한다 (이번 실행: [0, 1, 2]).
P1b: 격자 1620, 인스턴스 1620 x 3 planner seeds = 4860 units
  기존 완료 0 units, 이번 실행 대상 4860 units
  방법 ['lower_bound', 'prioritized', 'wm_planner']
  결정론적 ['lower_bound', 'prioritized'] 는 planner_seed=0 에서만 돈다
  워커 8 (안쪽 1), 하드 타임아웃 300s / 인스턴스
  commit abf8b8a
-> bench/runs/P1b.csv

  [   70/4860] n2_chain_c42bb4a6                  ps=2 14.5s ok                 0:19 경과, 남은 ~22:34
  [   71/4860] n2_chain_c42bb4a6                  ps=1 14.5s ok                 0:20 경과, 남은 ~22:35
  [   72/4860] n2_chain_02d7ec57                  ps=1 11.1s ok                 0:20 경과, 남은 ~22:49
  [   73/4860] n2_chain_02d7ec57                  ps=2 11.1s ok                 0:20 경과, 남은 ~22:48
  [   74/4860] n2_chain_23cd6768                  ps=2 10.9s ok                 0:21 경과, 남은 ~22:38
  [   75/4860] n2_chain_02d7ec57                  ps=0 11.1s ok                 0:21 경과, 남은 ~22:34
  [   76/4860] n2_chain_0df40746                  ps=0 8.2s ok                  0:21 경과, 남은 ~22:37
  [   77/4860] n2_chain_1ab9d9ae                  ps=0 16.0s ok                 0:21 경과, 남은 ~22:22
  [   78/4860] n2_chain_0df40746                  ps=1 8.2s ok                  0:21 경과, 남은 ~22:05
  [   79/4860] n2_chain_1ab9d9ae                  ps=2 16.0s ok                 0:22 경과, 남은 ~22:28
  [   80/4860] n2_chain_0df40746                  ps=2 8.2s ok                  0:22 경과, 남은 ~22:16
  [   81/4860] n2_chain_b60bf26e                  ps=0 13.8s ok                 0:22 경과, 남은 ~22:29
  [   82/4860] n2_chain_cc71d41d                  ps=1 10.3s ok                 0:22 경과, 남은 ~22:16
  [   83/4860] n2_chain_1ab9d9ae                  ps=1 16.1s ok                 0:22 경과, 남은 ~22:02
  [   84/4860] n2_chain_cc71d41d                  ps=0 10.4s ok                 0:22 경과, 남은 ~21:47
  [   85/4860] n2_chain_cc71d41d                  ps=2 10.3s ok                 0:23 경과, 남은 ~22:04
  [   86/4860] n2_chain_b60bf26e                  ps=1 13.6s ok                 0:23 경과, 남은 ~22:03
  [   87/4860] n2_chain_b60bf26e                  ps=2 14.4s ok                 0:24 경과, 남은 ~22:11
  [   88/4860] n2_chain_e453c916                  ps=0 10.0s ok                 0:24 경과, 남은 ~22:15
  [   89/4860] n2_chain_e453c916                  ps=2 10.0s ok                 0:24 경과, 남은 ~22:02
  [   90/4860] n2_chain_e453c916                  ps=1 10.0s ok                 0:24 경과, 남은 ~21:48
  [   91/4860] n2_chain_1659db46                  ps=1 13.2s ok                 0:25 경과, 남은 ~21:51
  [   92/4860] n2_chain_1659db46                  ps=2 13.3s ok                 0:25 경과, 남은 ~22:04
  [   93/4860] n2_chain_1659db46                  ps=0 12.8s ok                 0:25 경과, 남은 ~21:52
  [   94/4860] n2_chain_310849fd                  ps=0 10.1s ok                 0:25 경과, 남은 ~21:55
  [   95/4860] n2_chain_ad20fe6a                  ps=0 8.0s ok                  0:26 경과, 남은 ~21:48
  [   96/4860] n2_chain_ad20fe6a                  ps=1 8.4s ok                  0:26 경과, 남은 ~21:43
  [   97/4860] n2_chain_310849fd                  ps=1 10.2s ok                 0:26 경과, 남은 ~21:39
  [   98/4860] n2_chain_ad20fe6a                  ps=2 8.1s ok                  0:26 경과, 남은 ~21:31
  [   99/4860] n2_chain_310849fd                  ps=2 10.2s ok                 0:26 경과, 남은 ~21:23
  [  100/4860] n2_chain_96b21b0c                  ps=0 10.3s ok                 0:27 경과, 남은 ~21:57
  [  101/4860] n2_chain_96b21b0c                  ps=1 10.3s ok                 0:27 경과, 남은 ~21:55
  [  102/4860] n2_chain_b7b3274d                  ps=0 13.9s ok                 0:28 경과, 남은 ~21:47
  [  103/4860] n2_chain_b7b3274d                  ps=1 14.1s ok                 0:28 경과, 남은 ~21:50
  [  104/4860] n2_chain_96b21b0c                  ps=2 10.3s ok                 0:28 경과, 남은 ~21:56
  [  105/4860] n2_chain_b7b3274d                  ps=2 14.1s ok                 0:29 경과, 남은 ~22:09
  [  106/4860] n2_chain_037af541                  ps=0 9.6s ok                  0:29 경과, 남은 ~22:06
  [  107/4860] n2_chain_037af541                  ps=2 9.6s ok                  0:29 경과, 남은 ~22:11
  [  108/4860] n2_chain_037af541                  ps=1 9.6s ok                  0:30 경과, 남은 ~22:14
  [  109/4860] n2_chain_ff7df9a1                  ps=0 14.0s unfinished:deadlock: no team progress 0:30 경과, 남은 ~22:03
  [  110/4860] n2_chain_ff7df9a1                  ps=2 13.0s unfinished:deadlock: no team progress 0:30 경과, 남은 ~22:10
  [  111/4860] n2_chain_a0835bea                  ps=0 8.4s ok                  0:31 경과, 남은 ~22:16
  [  112/4860] n2_chain_ff7df9a1                  ps=1 14.0s unfinished:deadlock: no team progress 0:31 경과, 남은 ~22:06
  [  113/4860] n2_chain_a0835bea                  ps=1 8.7s ok                  0:31 경과, 남은 ~22:07
  [  114/4860] n2_chain_a0835bea                  ps=2 8.8s ok                  0:31 경과, 남은 ~22:02
  [  115/4860] n2_chain_17c11878                  ps=0 14.6s ok                 0:32 경과, 남은 ~22:09
  [  116/4860] n2_chain_17c11878                  ps=1 14.6s ok                 0:32 경과, 남은 ~22:05
  [  117/4860] n2_chain_971dcf72                  ps=0 9.3s ok                  0:32 경과, 남은 ~21:56
  [  118/4860] n2_chain_17c11878                  ps=2 14.6s ok                 0:32 경과, 남은 ~21:48
  [  119/4860] n2_chain_971dcf72                  ps=1 9.1s ok                  0:32 경과, 남은 ~21:48
  [  120/4860] n2_chain_d9c88caf                  ps=1 7.8s ok                  0:33 경과, 남은 ~22:01
  [  121/4860] n2_chain_971dcf72                  ps=2 9.3s ok                  0:33 경과, 남은 ~21:54
  [  122/4860] n2_chain_d9c88caf                  ps=2 7.8s ok                  0:33 경과, 남은 ~21:43
  [  123/4860] n2_chain_d9c88caf                  ps=0 7.8s ok                  0:33 경과, 남은 ~21:42
  [  124/4860] n2_chain_6e33da4f                  ps=1 13.9s ok                 0:35 경과, 남은 ~22:20
  [  125/4860] n2_chain_609c4670                  ps=0 11.7s ok                 0:35 경과, 남은 ~22:10
  [  126/4860] n2_chain_beb6ff2d                  ps=0 11.8s ok                 0:35 경과, 남은 ~22:04
  [  127/4860] n2_chain_609c4670                  ps=1 11.9s ok                 0:35 경과, 남은 ~22:19
  [  128/4860] n2_chain_6e33da4f                  ps=0 14.6s ok                 0:35 경과, 남은 ~22:09
  [  129/4860] n2_chain_beb6ff2d                  ps=1 11.8s ok                 0:36 경과, 남은 ~22:05
  [  130/4860] n2_chain_6e33da4f                  ps=2 14.6s ok                 0:36 경과, 남은 ~22:14
  [  131/4860] n2_chain_609c4670                  ps=2 11.9s ok                 0:36 경과, 남은 ~22:05
  [  132/4860] n2_chain_beb6ff2d                  ps=2 11.8s ok                 0:36 경과, 남은 ~21:56
  [  133/4860] n2_chain_df59fd82                  ps=0 14.7s ok                 0:37 경과, 남은 ~22:28
  [  134/4860] n2_chain_df59fd82                  ps=1 14.7s ok                 0:37 경과, 남은 ~22:19
  [  135/4860] n2_chain_07fc2cfc                  ps=1 10.7s ok                 0:38 경과, 남은 ~22:29
  [  136/4860] n2_chain_07fc2cfc                  ps=0 10.0s ok                 0:38 경과, 남은 ~22:19
  [  137/4860] n2_chain_df59fd82                  ps=2 14.7s ok                 0:39 경과, 남은 ~22:30
  [  138/4860] n2_chain_cde36878                  ps=1 15.8s ok                 0:39 경과, 남은 ~22:34
  [  139/4860] n2_chain_cde36878                  ps=0 15.9s ok                 0:40 경과, 남은 ~22:40
  [  140/4860] n2_chain_197e59af                  ps=1 12.1s ok                 0:40 경과, 남은 ~22:34
  [  141/4860] n2_chain_197e59af                  ps=2 12.1s ok                 0:40 경과, 남은 ~22:25
